,6,De te verwerken gegevens bevatten gevoelige gegevens in de zin van artikel 16 Wbp.,"Artikel 16 Wbp [invoegen link naar http://wetten.overheid.nl/BWBR0011468/geldigheidsdatum_19-10-2015#Hoofdstuk2_Paragraaf2] bevat een stringenter regime voor zogenaamde bijzondere persoonsgegevens, dus bovenop de algemene verplichtingen van de Wbp. De hoofdregel daarbij is dat verwerking verboden is, tenzij aan zeer specifiek omschreven en zware eisen is voldaan. De gegevens waarvoor dit stringente regime geldt zijn gegevens over: godsdienst of levensovertuiging, ras, politieke gezindheid, gezondheid, seksuele leven, persoonsgegevens betreffende het lidmaatschap van een vakvereniging, strafrechtelijke persoonsgegevens en persoonsgegevens over onrechtmatig of hinderlijk gedrag in verband met een opgelegd verbod naar aanleiding van dat gedrag.",1,,,-1,1,C,2,2
,7,De te verwerken gegevens bevatten gegevens van minderjarigen.,"Deze gegevens vallen weliswaar niet onder het regime van artikel 16 Wbp [invoegen link naar http://wetten.overheid.nl/BWBR0011468/geldigheidsdatum_19-10-2015#Hoofdstuk2_Paragraaf2], maar worden wel als gevoelig beschouwd, omdat deze groep kwetsbaarder is dan volwassenen.",1,,,-1,1,C,2,2
,8,De te verwerken gegevens bevatten financiële gegevens van personen.,"Deze gegevens vallen weliswaar niet onder het regime van artikel 16 Wbp  [invoegen link naar http://wetten.overheid.nl/BWBR0011468/geldigheidsdatum_19-10-2015#Hoofdstuk2_Paragraaf2], maar worden wel als gevoelig beschouwd, omdat financiele gegevens zeer bepalend zijn voor de wijze waarop iemand in het maatschappelijk verkeer wordt beoordeeld of behandeld. ",1,,,-1,1,C,2,2
,9,De te verwerken gegevens bevatten BSN-gegevens.,"Persoonsidentificerende nummers, zoals het BSN, vallen weliswaar niet onder het regime van artikel 16 Wbp  [invoegen link naar http://wetten.overheid.nl/BWBR0011468/geldigheidsdatum_19-10-2015#Hoofdstuk2_Paragraaf2], maar worden wel als gevoelig beschouwd, omdat ze direct en 1 op 1 een unieke relatie leggen met een natuurlijk persoon.",1,,,-1,1,C,2,2
,10,De betrokkene zal de verwerking van zijn gegevens als gevoelig beschouwen.,"De perceptie van de betrokkene is een belangrijk aspect bij de beoordeling of de voorgenomen verwerking mag. Uiteraard gaat het hier om een inschatting van de verantwoordelijke en is het, tot op zeker niveau, enigszins koffiedik kijken. Probeer, om een inschatting te maken, in de huid te kruipen van de betrokkenen. Ook een inschatting van een collega kan hierbij helpen.",1,,,-1,1,C,2,2
,11,De te verwerken gegevens bevatten postcode 4-niveau gegevens.<b>THIJS: geen scores in Excel sheet?</b>,"Locatiegegevens, zoals postcode 4-niveau gegevens (1234 AA), kunnen iemand indirect identificeren. Schaalniveau speelt hierbij een heel belangrijke rol. Als gegevens van individuen worden gekoppeld aan locaties met een hoge mate van detail, worden gegevens gevoeliger.",,,,,,,,
,12,De te verwerken gegevens bevatten postcode 6-niveau gegevens.,"Locatiegegevens, zoals postcode 6-niveau gegevens (1234 AA, huisnummer 5), kunnen iemand indirect identificeren. Schaalniveau speelt hierbij een heel belangrijke rol. Als gegevens van individuen worden gekoppeld aan locaties met een hoge mate van detail, worden gegevens gevoeliger.",1,,,-1,1,A,1,1
,13,De te verwerken gegevens bevatten adresgegevens.,"Locatiegegevens, zoals een adres uit de BAG (zie artikel 1 sub a Wet basisregistraties adressen en gebouwen) [invoegen link naar http://wetten.overheid.nl/BWBR0023466/geldigheidsdatum_19-10-2015#Hoofdstuk1_Artikel1], kunnen iemand indirect identificeren. Schaalniveau speelt hierbij een heel belangrijke rol. Als gegevens van individuen worden gekoppeld aan locaties met een hoge mate van detail, worden gegevens gevoeliger. ",1,,,-1,1,B,1.5,1.5
,14,De te verwerken gegevens bevatten locatiegegevens in combinatie met een precieze tijdsindicatie,"In combinatie met een relatief precieze tijdsindicatie - minuut, dag uur - worden locatiegegevens nog veel gevoeliger. De tijdsdimensie voegt veel informatie toe over de context waarin de persoon op die plaats was: het gegeven dat iemand op het marktplein is geweest is veel minder gevoelig dan dat iemand daar was ten tijde van een bijeenkomst van een extreme groepering (waarbij je je ook moet realiseren dat je uit die combinatie van gegevens gemakkelijk verkeerde conclusies kan trekken).",1,,,-1,1,C,2,2
,15,De context van de nieuwe verwerking maakt de gegevens gevoeliger dan de context van de verwerking voor het oorspronkelijke doel.,Het voorgenomen gebruik kan ertoe leiden dat (een onderdeel van) de gegevens in een andere context terecht komen. Denk bijvoorbeeld aan parkeergegevens van voertuigen die voor fiscale opsporing gebruikt gaan worden.,1,,,-1,1,B,1.5,1.5
